Text,True_Label,Predicted_Label
william ruto called nasa militia group cnn kalenjins corner especially nandi subtribe kipsigis beating drumbeat war kikuyus wont support trouble kalee militia stopethniccleansing,Offensive,Neither
jubilee regime theft celebrated drug dealer elected corrupt cs commended state john githongo,Offensive,Neither
small dick stingy one minute men drunkard beaten wife thief conmen bad colonial name kikuyus never win,Hate Speech,Offensive
luhyas name may make think botanical garden,Offensive,Neither
luhyas cursed tribe cant unite,Offensive,Hate Speech
uhuru man face joho belief said true mundukhumundu johovsuhuru,Offensive,Neither
kikuyus kalenjins form civil serviceif kenya losing corruption mean form govt benefit family relativesthat grim situation kenyajust fact tribe ruled yr corruption,Offensive,Neither
luhyas offering discount indian lady mulembe night tomorrowwe taking,Offensive,Neither
uruguay mafi italy wananikatsiasi wote warudi kwao,Offensive,Neither
kikuyus must reminded spread kenya kama bacteria start stop,Offensive,Neither
luo proud making nation big sisi wakale make country big lorna kiplagat alishindia holland gold hatukuringa,Offensive,Neither
username_ tribe bos luo voted username_ like kikuyus username_ last man kikuyus cult,Hate Speech,Neither
kikuyus cant trusted,Hate Speech,Neither
username_ perfected art baba as kissing haha noreformsnoelections railaonktn pictwittercomuiwbxbc,Offensive,Neither
try merus username_ nyeri men useless drunksplus nyeri mama quick anger,Hate Speech,Neither
ethnicity luo think raila president democracy kikuyus kenyatta well fucked state,Offensive,Neither
smh username_ stand afya centre minute wunt take long notice every bagas kisiis,Hate Speech,Neither
stupid platform sadly full hater bigot noreformsnoelections,Offensive,Neither
hawa wakisii ndio watu wakuavoid ukienda raev gari imejaa wataoffer kukaa kwa roof ukweliusemwe,Neither,Offensive
wajaluo wanasumbua allafu wanataka wapewe free soda bread ama live bullet omeraaaa,Offensive,Neither
two kikuyus attend bla bla fixed come call tribal moron,Offensive,Neither
one people even god know kikuyus much idiotic,Hate Speech,Neither
approved public tax matsanga philanderer wasting hague waste tax personal issue,Offensive,Neither
username_ started many scandal username_ ceo happening love arrogant ceo oppress worker refuse respond issue questioned,Offensive,Neither
said chokora thought isnt luo chokora kikuyus going tweet,Offensive,Neither
vile tribalists kikuyusluos nandis kalenjins mombasa people xenophobic watu bara stand corrected,Hate Speech,Neither
kamba nyenze gubernatorial loser musila kamba spokesman get serious username_,Offensive,Neither
whether kikuyu luo kalenjin luhya kamba whatever bribed coached icc witness traitor,Offensive,Neither
tunalipia kwenda canaan ama hizi contribution zetu kununua asali maziwa nasasinkingship,Neither,Offensive
kenyan today must give kikuyus break community prison need help sentiment violence absurdly sick oppressed mind mass counseling guidance required deliver self destruct system,Hate Speech,Neither
wajaluo siyo watu wazuri victor wanyama jana kamfanya kante aonekane nyanya unguja watu walimgawana mjaluo mwenzao marafikiwaspurs,Hate Speech,Neither
acting like bum bottom bitch say least waititu meant maasai watchies community gtfoh let live,Offensive,Neither
uhuru tell nation time politicking ended keep talking politics know kikuyus lead lose everlasting life laugh last,Offensive,Neither
kalonzo making known kamba men nothing coward railaswearing,Hate Speech,Neither
wajaluo wanaelewa international diplomacy judging whyaminalost trendmayb shld also study sexual health zeal,Offensive,Neither
kikuyu kalenjin dont throw stone loot property simply kill blood lust real come anger people die luo know need stop intimidating murderous tribe reach boiling pointstopethniccleansing,Offensive,Neither
singlehandedly teaching whole new generation hate death deal someone doesnt vote way hatespeech disgusting,Offensive,Neither
almost went insane walking naked town supremecourtruling show empty debes brain wembeniuleule,Offensive,Neither
username_ prezzo alisema politics enemitybut nkama umefunga macho maskio cjui umefungua shimo gani arrestkimaningunjiri,Offensive,Neither
yall forgotten nyakundi post provide factual evidence continue yapping nyakundifacesjail,Offensive,Neither
luo revisiting stone throwing tactic saw kikuyus maasais deliver uon strike,Offensive,Neither
kikuyus steal everything everywhere kamau wanted steal virginity someone as,Offensive,Neither
kamba extremely gullible kanyari really exploited girl makriyainjili jichopevu,Offensive,Neither
vile chebukati anafaa kugongwa kipara kenyaelections electionsboycottke pictwittercomuvfaodp,Offensive,Neither
misogynistic cretin nyakundi bore father despicable sadist,Offensive,Neither
lmao username_ msirudi kym username_ always wanted tweet tht hide username_ lakini kalenjins really slow,Offensive,Neither
copy paste one hahahaaaa kikuyus heaven lolest kikuyus must,Offensive,Neither
raila say chilloba must ruto noreformsnoelections,Offensive,Neither
hang talking dead palestinian baby hmmm support username_ kill thousand baby every year doublestandards hatespeech praychelsea maga israel,Offensive,Neither
tinga man know old old age dint come wisdom norailanopeace,Hate Speech,Neither
biasedthese guy make one believe kikuyus hated kikuyus hate luo luhyas measure jkl,Hate Speech,Neither
hate people try talking shit military stand behind ahead stand front,Offensive,Neither
fella running sacred ili iwe funzo kwa wengine wenye hii tabia kamiti must tenant tick tock tick tock,Neither,Offensive
chris said yoh username_ person tweeting stupid username__ lol see luo stupid,Offensive,Neither
ujinga wacha username_ today username_ night abuse username_ whole night mundukhumundu,Offensive,Neither
username_ bruh kamba bitch real deal,Offensive,Neither
given new transformer august last year line well built contractor came droped cable gave new meter power transformer thika makongenikisii estate,Offensive,Neither
read comment conclusion make emptyheaded fool capable comprehending danger demon type expose kikuyus region grow reason civility,Offensive,Neither
wewe mwenye ulipata done people even mombasa rural village nyamazisha,Offensive,Neither
doubt leaf even though theyre hall ignoring masai run team salary cap rtz raptor,Offensive,Neither
demand people nasa declare result null void seat vacant solidarity railapresser,Offensive,Neither
havent seen jubilee blogger condemning killing chris musando know ripmsando,Offensive,Neither
hawa madem wakamba hukatiwa chupa dasani wanaingia box haraka,Offensive,Neither
came first chicken computer vifarangavyakompyuta,Offensive,Neither
wonder sane people elect stupid leader ripmsando moseskuriaexplain kivumbi pictwittercomwknckaeh,Offensive,Neither
believe kamba nasa,Hate Speech,Neither
luo dangerous mungiki operative mungikidemos,Hate Speech,Neither
increase arrest order issued make wonder tobiko dpp awarded post kenya tanoterror,Offensive,Neither
kikuyu men make woman prefer plastic rubber thing advice tafuta luhya dude akunyoroshe properly throw away thing,Offensive,Neither
hawa kwanza wanawake huvaa nguo funny wengi huwa waluhya wakisii wrong,Offensive,Neither
luo lazy emulate hardworking kikuyus luo nyanza governor say,Offensive,Neither
username_ say massacre tribe including kikuyus suspected one,Offensive,Neither
govt wasting tax buying rift valley idp land yet peace idp back farm business,Offensive,Neither
uhuru son poisoned tree kasarani stadium stampede speaks volume kikuyus kalenjins typical knuckheads resist,Hate Speech,Neither
biasedthese guy make one believe kikuyus hatedkikuyus hate luo luhyas death jkl,Hate Speech,Neither
blame uhuru personally think plot ochestrated kikuyus stop wsr president using raila prove wrong,Offensive,Neither
guy moseskuria going jailed,Offensive,Neither
username_ username_ kalenjins always primitive come objective reasoning,Hate Speech,Neither
jubilee supporter preaching peace instead credible election ntvtonight mondayspecialke ripmsando,Offensive,Neither
well guess puppy president cant even leave bedroom one recognizes shitty presidency except kikuyus doesnt care anyway,Offensive,Neither
kama dick mlunje thermometer sisi wakikuyu wire bulblol,Offensive,Hate Speech
kikuyus busy voting mundu nyomba busy expanding family business expense poor voterspoor kerogo voter,Offensive,Neither
watching fake tweef jubilee username_ username_ meant distract uhurueurothieves debate ushenzike username_,Offensive,Neither
beware cyprian nyakundi spreading fake shit everybodys timeline,Offensive,Neither
realised fate country depends raila yall giving much attention railapresser,Offensive,Neither
wajaluo wamekusimamisha endelea maisha yako sisi wewe endelea maisha yako unless tuko usemi kukushikia hewa,Offensive,Neither
kikuyus enough reason matiangi arrest police officer luo kisii kamba luhya hhhhhh,Hate Speech,Neither
three shot multiplied today shoot kill luo,Hate Speech,Neither
whoever looted help campaign big serving citizen,Offensive,Neither
hawa wakisii walirogwa greencard pay ticket want abroadsheit,Hate Speech,Neither
username_ two kalenjins relationkip,Offensive,Neither
kikuyus special luo war scared bring onusername_ username_,Hate Speech,Neither
luo tribe kenya place origin turned country southsudan,Hate Speech,Neither
utapata msee amekaa kwa hostel anangoja helb ako busy kutweet young boy nyakundi notorious okay,Offensive,Neither
uhuru alienated kikuyus frm community rlshp kalenjins built sandwill sink electionboycottke kenyapoll,Offensive,Neither
uhuru done much crude stuff god angereddo know killed many non kikuyus thrown mwiki riversad,Offensive,Neither
big brother recruiting watch others facebook hatespeech pictwittercomvtpfdhgp,Offensive,Neither
true nyakundi society rotten need start fresh young gal raped virginity money tangled bed side rich men sodom gomorrah,Offensive,Neither
hating lupita probably kikuyus also hated obama,Offensive,Neither
username__ kamba guy gan sha kill last,Offensive,Neither
title even mean nasaflagbearer fagiawote,Offensive,Neither
see thing simple kikuyus accusing luo luo accusing kikuyus gone tribal one thing need know criminal criminal weather tribe,Hate Speech,Neither
stupid kenya big kikuyus kalenjins,Neither,Hate Speech
worker kumirakumira tanoterror government coming allowance,Offensive,Neither
kikuyus ever shawty username__ ochola tunajua orgasm guaranteed ingekuwa njoro nvm,Hate Speech,Neither
want express view without harassment kikuyus better tribe babuarrested freebabuowino free igadkeepoff,Offensive,Neither
auditor general ouko cooked figure must resign must either compromised threatened,Offensive,Neither
make kemedia think icc proceeding importance usthey dont anything else kenyan uhurueurothieves,Offensive,Neither
wonderboom airbase communication officer major mohlala face equalitycourt hatespeech charge targeting white south african inciting public statement social medium freedomfront party leader,Offensive,Neither
wajaluo wakamba fighting blood kelele ndio wanajua violence doubt,Offensive,Neither
fascinated meme convention kikuyus many mosquito family,Hate Speech,Neither
powerful man leader stop ignorant president luolivesmatter,Offensive,Neither
rot unmasked far gave authenticity source see blogger paid sonko waiguru back unity fight username_ let quickly remind youve failed mission terribly username_ stay,Offensive,Neither
would rather keep dreaming instead keeping stealing like jubilee remember dream valid dreaming also law stealing another matter tanoterror,Hate Speech,Neither
good number idiot username_ lawyer whats wrong username_ law school electionske electionsboycottke,Offensive,Neither
kikuyus hate raila story changaa bado hungemkubali,Offensive,Neither
username_ source lie nyakundilies,Offensive,Neither
wea crusadors mytribeispeace musandos case dient deserve alive piece username_ ripmsando,Offensive,Neither
idiot called nyenze say kamba uncomfortable tell kamba made jubilee flag bearer,Offensive,Neither
luo hated kikuyu peasant establishment alike secedingwhy people hate,Offensive,Neither
luhyas best cricket player young cricket history tikolo brother positiveethnicity,Offensive,Neither
come realize kenya raila raila kenya electionsboycottke,Offensive,Neither
kikuyus selfish tribal theyd never want person president need shy away character maragapetition,Hate Speech,Neither
wakikuyu hatuna iyo time kuiba mandazi,Neither,Offensive
uhurus time someone call dog tribe reacts know youre president country noreformsnoelections,Offensive,Neither
shameful police brutality mumiaswhy police killing luhyas like somali burning house like mandera,Hate Speech,Neither
luhyas like coldwater wait jubilee pours money unite,Offensive,Neither
shes liberal queen hatespeech twitter wont touch think shes untouchable unfortunately twitter enforcing belief deplorablebehavior liberalism figuire right,Offensive,Neither
wahome burst uhuru ruto constant lie raila kikuyus hate,Offensive,Neither
problem kikuyus brain ever wet,Hate Speech,Neither
cord jubilee supporter would baying blood he keep quiet arrestkimaningunjiri,Hate Speech,Neither
tumeanza sasa kichwa cha mwendawazimu dakika goli mbili hawa waarabu kwao watatuua taifa starz desert fox,Offensive,Neither
uhuruto training supporter demo opposition jubileedemos noreformsnoelections forgot teargas gsu maneuver,Offensive,Neither
luo something else someone named new son cool kajwang,Offensive,Neither
luhyas twitter demanding want handle jogoo unga sack delivered,Offensive,Neither
certainly overrating nasa appease personal demon wake selfinduced fantasy akombemustgo,Offensive,Neither
username_ wanafujo hawa waarabu,Hate Speech,Neither
username__ merus ruthless,Offensive,Neither
say kikuyus favored country reason excuse like blind tribalism,Offensive,Neither
kenyan open eye never challenge think lying confirm wat happened kisii railathetribalchief,Offensive,Neither
kikuyus kindly steal day kalenjins please chase day like chebarbar january end tho,Offensive,Neither
luhyas huko homeground wako idle kuombea wafu wafufuke smh people lost,Offensive,Neither
luo killed right mathare endless useless argument luolivesmatter,Offensive,Neither
hakuna username_ nahakuna kitu utafanya username_ kikuyus tribal lot country,Hate Speech,Neither
uhuru let clear acceptance election result subjected cresibilitywe wont accept sham rigged election ripmsando,Offensive,Neither
wakimbizi congo wafukuzwa rwanda waambiwa warudi kwao wakauwawehivi rwanda ndo ambao walipokelewa nchi,Offensive,Neither
wewe username_ coz ulipitia gate daystar youre attacking nyakundi njoki beyond redemption juvenile journalist,Offensive,Neither
voter apathy raila dida presidential candidate kikuyus would vote dida raila phobia,Offensive,Neither
keep tweet reference month come unga go donate kidney jubilee presidential campaign uthamaki,Offensive,Neither
kikuyus always attracted thief kirinyaga,Hate Speech,Neither
hawa madem wakikuyu wanajifanyia nani miguu kama hokey stickhips zao kama mende hii kitu wanakuanga,Offensive,Neither
true kenyan even githeriman created twitter account aug fake fake fake,Offensive,Neither
think youll able kill luo hell well gang kikuyus well kill butch like fliesarrestgracemurewa,Hate Speech,Neither
moral talking abt uthamaki stealing poor clapping mother fucker,Offensive,Neither
big brother watchingrt username_ true sisi waluhya hehe username_ opinion luhyas cont,Hate Speech,Neither
clearly unhinged zealot username_ watch list spewing hatespeech,Offensive,Neither
yes luo accomodative respectful unlike jigger infested brother central provincembwa koko wewe,Hate Speech,Offensive
seeing gvt power sharing amongst community kalenjins kikuyus almost cabinetparastatals head either,Hate Speech,Neither
since luo proud divock origi think safe kikuyus assume johan djourou joe wanjiru,Hate Speech,Neither
unajisikia ukisema washikwe wote nyangau ukishikwa wajinga wako wenye umekalia hapo mkono wanaanzisha free nyakundi blah blah blah saitani,Neither,Offensive
earth nyakundi relative detainedwhat shithole country freenyakundikins,Offensive,Neither
yall report nyakundi less street better,Offensive,Neither
doubt jubilee maturity look whole kisumu billboard story juvenile vifarangavyakompyuta,Offensive,Neither
hate idle kalenjins,Hate Speech,Neither
kikuyus twitter going make miss heaven sin except login twitter checking trending topic,Offensive,Neither
ukabila itawaua username_ meru people best tweeps username_ kisiis best tweeps,Offensive,Neither
look safe say kisiis officially equivalent blonde white guy,Offensive,Neither
rao said noreformsnoelections jubilee dared boycott poll,Offensive,Neither
kikuyus missed opportunity prove tribal believe kikuyu ethnic,Offensive,Neither
luo always great people betrayed demonized like moses kuria uhurutoinnyanza,Offensive,Neither
knew safaricomkillerdirector sylvia mulinge would buy way kenya court harass jail poor,Offensive,Neither
waiguru prison yetmurkomen whydualefor hate speech kamba government ran school prefect gokdelivers,Offensive,Neither
mpigs blowing whistle subsequently kicked luo odmkufa sasa,Offensive,Neither
beset allegation graft jubilee mandarin bot want believe raila like mpeketoni uhurueurothieves,Offensive,Neither
kikuyus voted sonko nyakundi calling chokoraawewe nyakundi wewestory iphone imefika wapi,Offensive,Neither
would read antisemitics hatespeech manifesto write cutpaste order deep know one take seriously try hard look silly one care using nazi make point disgusting pictwittercomgwfscnmu,Offensive,Neither
cant win aganist boychild nyakundi cerelac kid aganist matoke kid never huyu anakurarua hadi minyoo,Offensive,Neither
talked attacking kikuyus community talk arming,Offensive,Neither
lame kill luo peacefully demonstrate luo kenyawe one nation indeed,Offensive,Neither
claim kikuyus hawker wat alai still hawker shame open mouth,Hate Speech,Neither
spaghetti vybe total joke tribal statement hate speech aimed luhya nation rather eat nail,Offensive,Neither
single sourced ghurair breached contract iebc complicit blatant election rigging noreformsnoelections pictwittercomxhhobvu,Offensive,Neither
well aint stupid like jubilidiots watch railainauguration aint seen nothing yet resist tyranny despotism support peoplesassembly seccessionbill regional prosperity pictwittercomnbcjooem,Offensive,Neither
kikuyus extremely uncivilized even president act uncivilized nothing new politics ourfuturehere,Offensive,Neither
who kikuyus suffering jubilee stop kulamba lamba uhuru,Offensive,Neither
warudi kwao,Offensive,Neither
luhyas coward every presidential candidate forever using luhyas ascend power coward,Offensive,Neither
youre yet saddened kill luo keep mind one day even death die,Offensive,Neither
one want garbage content chose youtube first place shoveling shit back face one watch,Offensive,Neither
luo parent take kid good national school nyeri kwao catch kikuyu parent dead take kid good western nyanza school kamba parent dont even bother find school outside machakos nysscandal nysscam usitoekakitu username_,Hate Speech,Neither
kikuyus partner crime telling stay putif doesnt resign cessation must,Offensive,Neither
upuuzi said also kamba cant defend incapacitated,Offensive,Neither
upus username_ upuzi username_ kill alshabaab convert luo ujaluo itawaua,Hate Speech,Offensive
kikuyus biggest loser jubilee regime uhurunomics,Neither,Offensive
vuguvugu wajaluo waasi,Offensive,Neither
kalenjins mashambiosys siege,Hate Speech,Neither
sisi kama wakisii tunaomba supreme court iteremshwe kule nyamira,Hate Speech,Neither
wikileakss must clear something cooked money lover tribalism monger akombemustgo,Hate Speech,Neither
sir narrow project defiant mp kikuyus merus others firmly behind wsr blood kilimendi,Offensive,Neither
luo overrated nothing spacial luonation governor tribelessyouth dabofshame,Hate Speech,Neither
bel akinyi ask niulize wakikuyu since youre one responsible nonsense youre praising justice ojwang hana foreskin sindio,Hate Speech,Neither
tweep shd arrested killallkikuyustoshuntribalism hate speech,Hate Speech,Neither
reason hate uthamaki kikuyus feel entitled presidency disgusting,Offensive,Neither
fuck teacher chase never heard robert peel teach day,Offensive,Neither
say luo stupid think wrongmiddle finger threw object president,Hate Speech,Offensive
hate luo username_ thinking fight luo warned tyrant govt eats child username_ username_,Offensive,Neither
tyranny number dead username_ username_ username_ electionsboycottke,Offensive,Neither
vile naona hawa wahindi wakisambaza joto huko wapunguze hii degree celcius nyinyi huko mpate kajoto tunaeza faidika wote,Offensive,Neither
bitch cant see luo international eagle stupid kenyatta kikuyus steal seat kenya arrestgracemurewa,Hate Speech,Neither
rapper say chasing money listen kalenjins say mean say,Offensive,Neither
kalenjins ought understand moi university institution mere village ukabilamoiuniversity,Hate Speech,Neither
kikuyu kalenjin leader never beg people register voter vote luhyas need paradigm shift luhyaland,Offensive,Neither
saw gammon thing trending associated hatespeech anticipating bacon mosque seems way target pictwittercomrpdsjlimw,Offensive,Neither
jealous person keep mind democracy freedom ugly toad dark damp well mean billion poor chn ppl word dont mean much dont talk boring username_ already showed stats annl rape china india pictwittercombxjajxgwsl,Offensive,Neither
whoever think cleanest throw first stone uhuruprinceoflooting far railathetribalchief concerned,Offensive,Neither
wewe inafaa ujoin nyakundi kwa boy child struggle,Offensive,Neither
kikuyus wouldnt vacate power without fight whether like rate blood shed,Hate Speech,Neither
wakikuyu vitu wakikuyu plus revenge wewe,Offensive,Neither
wacha ujinga wakuchukia kikuyus kenyan luo kenyan right johonasapwani,Offensive,Neither
silent majority kikuyus face daily hardship taunt harassment kikuyu nothing part murderous looting elite class convenient cover,Offensive,Neither
respect kalenjins muchthey make decision sensible unlike kikuyus follow uthamaki blindly,Hate Speech,Neither
kisiis like username__ kisii conductor fucking noisy,Offensive,Hate Speech
geography teacher atajiua,Offensive,Neither
deploy police drawn kikuyu community kill luo kisumu hate till die stopkisumukillings,Hate Speech,Neither
broke nigga always talking shit,Offensive,Neither
taifa friend screwed medium fear truthhe led kikuyus kalenjins period,Offensive,Neither
nothing tribalism nairobi kamba city included people ethnicity,Offensive,Neither
wakenya twasema uhulu looter tano terror siuchawinimaombo wembeniuleule tanotena kumirakumira choiceshaveconsequences kuraniakilisiukabila,Offensive,Neither
fuck tribalism kenyapoll electionsboycottke kenyaelections kawangware,Offensive,Neither
moseskuria devil overtaking world,Offensive,Neither
stupid luo senate called anyang nyongo shall kill luo,Hate Speech,Neither
woman stay away nigerian men cux nigerian men conmencon artist say kenyan lady,Offensive,Neither
wajaluo wako ready nyama choma fest april username_ username_ username_ username_ twendechomafest gainwithxtiandela,Offensive,Neither
hate commercial dont influence ever click bullshit,Offensive,Neither
kenyan men something else spend pesa kiasi drink act like,Offensive,Neither
mungikis kikuyus kikuyus mungikis mungikidemos budgetke,Hate Speech,Neither
tiga fangi username_ luhyas watchman kisiis night runner somali terrorist,Neither,Hate Speech
kamba sex athlete kisiis sorcerer,Hate Speech,Neither
uhuruto shud say something since seen press railapresser electionke jeffandjalasonhot,Offensive,Neither
people going fck friend especially kikuyus fck,Hate Speech,Neither
true kikuyus idiot theyre special kind evil,Hate Speech,Neither
luo suffer kikuyus kalenjins eating table noreformsnoelections,Hate Speech,Neither
kikuyus zero confidence thats kikuyus majority kenyan ran away daringabroad,Hate Speech,Neither
thisismombasa fuck kalenjins twitter know saying fuck useless,Hate Speech,Offensive
pple time must fight culture kikuyus stealing election arsenal wont accept move time,Hate Speech,Neither
kalonzo kalembe ndile sonko alfred mutua username_ follower kamba sharp voice hatin truth,Hate Speech,Neither
forgot encouraging police kill non kikuyus non kalenjins,Hate Speech,Neither
luo blamboyant intellectual braggart like power smart nothing kenyastereotype brothertime,Offensive,Neither
true main reason kenyan full shit,Offensive,Neither
luo insult username_ trying stir blood flesh battle eveyone know kikuyus luo bad blood,Hate Speech,Neither
heard getting baby uhuru elected envy dude job noreformsnoelections,Offensive,Neither
luo ingrained since birth problem kikuyus time divorce railasecessionplan,Offensive,Neither
sisi kama wakisii stand username_ hatutaki msiecho pana uguse pipi yangu nitakuua aki,Hate Speech,Neither
one reason luo nation bitter year old murdered cold blood body dragged along road kikuyus doesnt get savagery cardinal njue uhuru preach peace forgiveness sermon bird letstalkdivorce pictwittercomobejjbok,Offensive,Neither
luo kill ranguma ban bad thing funeral raila,Hate Speech,Neither
wahindi warudi kwao,Hate Speech,Neither
cant set law kenya one set allowing kikuyus free access jkia welcome uhuru icc another law restricting nonkikuyus access jkia receive leader username_ thats one reason secession important railareturns,Hate Speech,Neither
kinyari information kisii proud kisii dont hold brief luo cant kill stone carrier,Hate Speech,Neither
waiting useless kikuyus like,Hate Speech,Neither
hate ppl judge dont know life story person judge would say nun masai bcus know story,Offensive,Neither
naniii mutakane wakikuyu hao lakini laini wakalenjin friend uliza raila akuambie wale fagilia awapendi ujinga hiyo,Neither,Offensive
woi nyetlo punya bukti kita antek pkitunjukin muka nyetsi monyet ini udh nyebar hatespeech,Offensive,Neither
videojst sad bahati inciting local luo nakuru saying vacate town arrestkimaningunjiri pictwittercomrjdzsfzhu,Offensive,Neither
luo sophisticated people nimeskia mwingine hapa jirani akisema,Offensive,Neither
employee tuskeys kikuyus let kisii govt follow kiambuthe kisiis jobless seeing session real,Hate Speech,Neither
kikuyus trending apologetic one claim complaint dishonest disheartening indeed,Offensive,Neither
junta regime led thief assassin corrupt drug lord mafia cartel crooksgod shield noreformsnoelections,Offensive,Neither
bloody fucker blogger attacking username_ reminded arrogant foolish also backward traditional unculturedstop used cartel sell cheap mediocrity enemy truth,Offensive,Neither
continue blaming kumira kumira thing till day see thing beyond modowa yoba mindset wacha watu wakule kiburi yao nasa pia tulikufa sana wacha wabomolewe shida mafuta tuumie wote punguzabeiyamafuta punguzafuelprice punguzamizigo pundaamechoka,Offensive,Neither
one god god kikuyus wont helpshindwa jesus name,Hate Speech,Neither
lmao username__ ati luhyas using teabate hashtag lol,Offensive,Neither
wasomali hatari kuna mmoja ameambia nyakundi arudie akili congo forest,Offensive,Neither
luo arguing kikuyus two president heard muslim saying christian ruled since independence,Hate Speech,Neither
username_ kalenjins kikuyus also one torched house loot supermakets kisumu,Hate Speech,Neither
demanded voter register polling station username_ thot could take kenyan ride vifarangavyakompyuta patikaneni kabsa,Offensive,Neither
watching even kalenjin bros boycotted kasarani full idle kikuyus,Hate Speech,Neither
dont recognize computer generated uhuru talk kalenjins kikuyus,Offensive,Neither
hear kikuyus watching debate instead recording dvd sell,Offensive,Neither
told citizen whooped kutunys as hate speech told luhyas vote kick constituency,Offensive,Neither
allowed sport sponsor including dhl continue propagate tribalism sportsthey peddle lie athletics kenya one tribe implemented locking athlete tribesokthey right athlete kalenjins,Offensive,Neither
kikuyus joking eacc also questioned kikuyus vote thief stop spoiling generation nasa,Hate Speech,Neither
heard president say right okay hatespeech lie alright throwing truth someone face public immoral okay buddy,Hate Speech,Neither
commonlyusedwords kikuyus thief,Hate Speech,Neither
refuse seat watch jubilee turn country banana republic playground railaonresults railaspeaks railapresser,Offensive,Neither
lie spread kikuyu circle rao sacrificed son wicked uhuru railathewardogsince,Hate Speech,Neither
kikuyus kalejingas problem kenya corddemos,Hate Speech,Neither
uhuru knew luo take nonsense thats could attend ojodes burialthose kill son never welcome,Offensive,Neither
witness kalenjins tall slim thin dark sang awachiliwe basi juu inakaa aliadoptiwa icc,Neither,Offensive
weird small extremely noisy group people keep saying nyakundi nyakundi keep peddling lie nyakundi follower misguided lot whole load nonsense yet follower growing message poll pictwittercomtrxxzun,Offensive,Neither
shall also request rthon username_ appoint concubine case concubine proved corrupt,Offensive,Neither
uhuru realised real president kenya want dialogue raila babapodpek electionsboycottke,Offensive,Neither
hate kikuyus seriously yall call clit mbosho though cool,Offensive,Neither
shame professionalshame yoursso police duty protect kikuyus kalenjins,Offensive,Neither
president serious fighting corruption delay act cs letter suspend thief pictwittercomuqsllti,Offensive,Neither
munya left jubilee nasa hailed statesman hassan omar he traitor wembeniuleule,Neither,Offensive
kikuyus employed public service kalenjins luhyas less kikuyus occupy significant lucrative job,Hate Speech,Neither
shame high priest insult username_ username_ fund must talk shutmutahingunyiup,Offensive,Neither
part hash tag noreformsnoelections luolivesmatter dont understand translator please stand,Offensive,Neither
potrayed opposite tweet username_ luo tribal kikuyus sue,Hate Speech,Neither
wachinese warudi kwao,Hate Speech,Neither
yes last night sent militia kill luo blame jubilee hope civil war get nusu mkate,Offensive,Neither
stopped eating dog began fucking cuming kamba respond kikuyu demeaning hate song,Hate Speech,Neither
yes username_ username_ thieving friend iebcreformprotests noreformsnoelections,Offensive,Neither
youre completely right hate missing assignment like end biting as later,Offensive,Neither
would led bunch power hungry fool logic railapresser,Offensive,Neither
luo generally ugly cuboid head siketi,Hate Speech,Neither
hawa wahindi wamekuja kazini leo wananuka eish conference room inanuka biriyani smh,Offensive,Neither
big shame forefront hating luo even going extend abusing ida hatred luo kill luo nothing loose hatred,Hate Speech,Neither
